Human	Worm	Type	OMAGroup
2618	180935	1:1	
29980	173431	1:1	
6453	178491	n:1	
539	172195	1:1	
1827	175788	n:1	1152684
54093	171705	1:1	
9980	173156	n:1	
8208	171747	1:1	961795
3772	180944	1:1	
10317	266924	n:1	
102724652	176471	n:m	
102724652	178660	n:m	
102724652	179287	n:m	
102724652	179287	n:m	
8566	172101	1:1	945250
8568	177853	1:1	
5822	172224	n:1	960932
5211	180583	n:1	
386677	187406	n:m	
386677	190671	n:m	
386677	190672	n:m	
386677	190870	n:m	
386677	190871	n:m	
386677	181800	n:m	
386677	181801	n:m	
386677	188802	n:m	
386679	CAEEL20852	n:1	989256
386682	CAEEL20852	n:1	
386672	187406	n:m	
386672	190671	n:m	1034270
386672	190672	n:m	
386672	190870	n:m	
386672	190871	n:m	
386672	181800	n:m	
386672	181801	n:m	
386672	188802	n:m	
386680	CAEEL20852	n:1	
386674	187406	n:m	
386674	190671	n:m	
386674	190672	n:m	
386674	190870	n:m	
386674	190871	n:m	
386674	181800	n:m	
386674	181801	n:m	
386674	188802	n:m	
386675	187406	n:m	
386675	190671	n:m	
386675	190672	n:m	
386675	190870	n:m	
386675	190871	n:m	
386675	181800	n:m	
386675	181801	n:m	
386675	188802	n:m	
386676	187406	n:m	
386676	190671	n:m	
386676	190672	n:m	
386676	190870	n:m	
386676	190871	n:m	
386676	181800	n:m	
386676	181801	n:m	
386676	188802	n:m	
353333	CAEEL20852	n:1	
386678	187406	n:m	
386678	190671	n:m	
386678	190672	n:m	
386678	190870	n:m	
386678	190871	n:m	
386678	181800	n:m	
386678	181801	n:m	
386678	188802	n:m	
386685	CAEEL20852	n:1	
7327	173228	1:1	828830
754	259632	1:1	
104	176022	1:1	
23275	259529	1:1	1212105
1291	172361	1:1	
23181	3565539	n:1	
27440	186796	1:1	1239133
529	177442	n:1	
5625	178350	n:1	
8220	176200	1:1	
23617	182017	n:1	964625
6576	176398	1:1	
8218	176434	n:1	
7290	175709	1:1	961163
64976	175174	1:1	1245837
8318	175481	1:1	
10587	176259	1:1	1140005
128989	179780	1:m	
128989	190742	1:m	
27037	186775	1:1	
5297	176653	1:1	
1399	176968	n:1	
150209	179196	1:1	1139995
6545	184903	1:1	962930
HUMAN59374	171619	1:1	
7332	175985	n:1	
23753	172010	n:1	958126
23759	174674	1:1	961000
29799	175512	n:1	
5594	175545	1:1	
9647	175217	1:1	
8940	174978	1:1	690725
400916	175529	1:1	1242848
6598	175571	1:1	698867
4282	176615	1:1	
100037417	179638	1:1	1211750
51733	174040	1:1	952463
6634	178483	n:1	738600
6634	178483	n:1	
440822	172515	n:m	808952
440822	CAEEL10528	n:m	
129049	176454	n:1	
157	175223	n:1	962231
24144	174600	1:1	718778
8459	176684	n:1	
23760	190268	n:1	
11200	180304	1:m	
11200	191613	1:m	
150274	187149	1:1	915089
162	175376	1:1	
4744	174560	1:1	
150280	177462	1:1	
10291	173440	1:1	961281
23541	172431	n:m	1132801
23541	173994	n:m	
51537	6418865	1:1	1233478
266629	172431	n:m	
266629	173994	n:m	
284904	172431	n:m	
284904	173994	n:m	
730005	172431	n:m	
730005	173994	n:m	
23481	176072	1:1	1207896
23762	176555	n:1	822009
4733	176563	1:1	710169
23761	176027	1:1	
51493	184556	1:1	1243754
8224	176987	1:1	964536
9215	187206	n:1	
10043	180723	n:1	
4174	175552	1:1	1134256
4627	180581	n:1	961170
25828	179434	1:1	
8664	176268	1:1	1191837
7263	177661	n:m	939081
7263	177661	n:m	
7263	179617	n:m	
7263	CAEEL16510	n:m	
7263	3565829	n:m	
4357	177661	n:m	
4357	177661	n:m	
4357	179617	n:m	
4357	CAEEL16510	n:m	
4357	3565829	n:m	
6753	187897	n:1	
5880	177111	n:m	
5880	186939	n:m	
27128	176140	n:1	
26088	189194	1:1	
57026	176232	n:m	
57026	178963	n:m	
57026	178964	n:m	
57026	178965	n:m	
51386	24104220	1:1	1251298
9463	178409	1:1	
25829	181565	1:1	827042
3761	191695	n:1	
10521	179897	1:1	
56993	173436	1:1	1153299
9929	259492	n:1	
9567	178540	1:1	
6122	175501	1:1	1251237
9145	180995	n:1	
10454	181556	1:1	1218490
8911	181045	n:1	
112268293	177756	n:1	
158	172466	1:1	1238060
27352	181091	1:1	968511
6767	176794	1:1	961492
63929	187899	1:1	1249421
9978	179358	1:1	889979
HUMAN60797	176121	1:1	1248349
84844	3564851	1:1	1251458
171568	179418	1:1	1232400
5372	178364	n:1	
2547	176546	1:1	
4809	174645	1:1	
79879	13191724	1:1	
6721	176574	n:1	
4668	179660	1:1	
1727	179029	1:m	
1727	188150	1:m	
26286	173927	n:1	963043
27349	259414	1:1	960825
23170	174480	1:1	671599
758	174416	1:1	
25813	175723	1:1	
29780	176848	n:1	
23779	174751	n:1	
23779	174751	n:1	
27127	172116	n:1	962636
2192	177788	1:1	965959
55020	190295	1:m	
55020	175084	1:m	800885
55687	178038	1:1	
9620	179788	n:1	
64781	172423	1:1	
25771	177845	n:1	
79087	179185	1:1	1234576
80305	3565269	1:1	
5600	191743	n:1	
414918	176945	n:1	839657
6305	180792	n:1	
55586	183790	1:1	1244611
91289	180941	1:1	963247
1120	177807	n:m	
1120	180703	n:m	
52	177055	1:1	
54221	181029	1:1	
7837	191484	n:m	
7837	181288	n:m	800065
7260	190778	1:1	
55256	173403	1:m	
55256	181393	1:m	1178810
246243	3565940	n:1	1166317
246243	3565940	n:1	
6201	172901	1:1	1251357
129642	CAEEL11648	n:m	
129642	180824	n:m	
51692	178285	1:1	
6241	175525	n:1	1219318
4953	179079	n:1	1192004
79954	177538	1:1	
10130	180974	1:1	961275
9475	172088	n:1	
23175	179853	n:1	1148480
1653	176913	1:1	1202030
81553	174234	n:1	
79677	174776	1:m	961125
79677	181384	1:m	
57539	183817	1:1	1229431
60526	172522	1:m	
60526	184342	1:m	1207675
51639	173394	1:1	
50618	178491	n:1	
391356	6418689	1:1	1139777
22979	174042	n:1	
1838	171715	n:1	
10890	266836	1:1	961088
3030	172310	1:m	893479
3030	180037	1:m	
3032	176216	1:1	1233076
85465	172097	1:1	750357
54978	174022	1:1	
22924	3565059	n:1	
84696	180309	n:m	
84696	180450	n:m	
10113	172641	1:1	
8884	178127	n:m	
8884	CAEEL18404	n:m	
790	174385	1:1	1147686
285126	180746	1:1	
4358	3564939	1:1	
8890	179331	1:1	
9784	184624	n:1	1201778
5496	175233	1:1	964189
26160	181715	1:1	1235144
HUMAN62043	175722	1:1	1170250
64080	174781	1:1	
5500	179486	1:1	1195470
51646	177105	1:1	
HUMAN62131	CAEEL14280	1:m	
HUMAN62131	179032	1:m	
HUMAN62131	186277	1:m	939227
30845	CAEEL14236	n:1	
7498	178381	1:1	869448
6716	191550	n:m	
6716	185670	n:m	
6716	184699	n:m	
51072	179163	1:1	1204620
55676	175728	1:1	1188811
84272	180305	1:1	720012
55622	176055	1:1	
25780	179344	1:1	
25940	177564	n:1	
51232	179439	1:1	
9637	180014	n:1	
6801	179445	n:1	962062
54497	179109	n:1	1203881
253635	179679	1:1	1236375
10153	179947	1:1	
55471	259527	1:1	960900
23683	180121	1:1	
25797	179482	1:1	
151393	179391	1:1	
64225	177059	n:1	962712
HUMAN62326	3565706	n:1	
130589	4363084	1:m	
130589	4363084	1:m	
6432	177566	1:1	
6654	178846	n:1	
8491	179072	n:1	
6546	178918	n:1	
27436	180358	n:1	
728819	176819	1:m	
728819	176819	1:m	
51626	184080	1:1	1219593
5495	179469	n:1	
HUMAN62459	179469	n:1	
6519	175125	1:1	
10736	178919	n:1	
55133	172040	1:1	1233273
5581	179649	1:1	
90423	177442	n:1	
9419	3896719	1:1	
90411	179610	1:1	754397
57217	175332	n:1	
805	178614	n:1	
4436	171938	1:1	
56660	179699	n:1	
2956	171914	1:1	1135874
80204	179045	1:1	969713
129285	178556	1:1	967026
3973	179381	n:1	964440
2492	179381	n:1	
9378	179503	n:1	968585
27248	173298	1:1	1156491
23198	179726	1:1	1251181
HUMAN62676	179077	n:1	
6233	175413	n:1	
4528	179374	1:1	961350
57223	179243	n:1	962560
87178	175269	1:1	1248749
64895	174513	n:m	
64895	174816	n:m	
64895	179458	n:m	
5194	174192	1:1	
7514	179160	1:1	1155518
10575	174330	1:1	847236
4190	179041	1:1	1216170
7360	176814	1:1	1225679
51542	179473	1:1	
57162	178959	n:1	
10097	179440	1:1	767163
56902	174534	1:1	1234495
5534	179572	1:1	960951
27302	179068	1:1	
2673	174778	n:m	1203309
2673	178067	n:m	
27247	CAEEL11459	1:1	798862
307	176446	n:1	
64395	190457	n:1	
11017	172652	1:1	961605
7072	173967	n:m	
7072	174909	n:m	
6637	171834	1:1	
84693	172514	1:1	1207649
10199	176646	1:1	
8291	172659	n:1	
23233	181131	n:1	
94097	174303	1:1	1204106
10574	178670	1:1	847242
51002	177293	1:1	
388962	173306	1:1	
1639	177987	1:1	
84058	185504	1:1	
7841	177998	1:1	
116540	3565796	1:1	
550	176127	1:1	873331
6869	192055	n:m	
6869	183595	n:m	
6936	172662	n:1	
130120	189689	n:m	
130120	183775	n:m	970522
5968	189689	n:m	
5968	183775	n:m	
5967	189689	n:m	
5967	183775	n:m	
1496	179624	n:1	1215670
8802	175252	1:m	1250132
8802	181570	1:m	
129293	181571	n:1	
10618	180776	1:1	
822	179328	1:1	
4144	177354	n:m	
4144	177355	n:m	1242240
4144	177389	n:m	
4144	181370	n:m	
8673	178349	1:1	
10713	173606	1:1	961086
25885	175015	1:1	1247540
10989	180566	1:1	963569
51652	173863	n:1	
100526767	173863	n:1	
64795	180548	1:1	
150572	172949	1:1	
9451	181334	1:1	
22934	175995	1:1	1238724
64969	179721	1:1	1166786
9391	173152	1:1	961255
23020	174901	1:1	1183786
90342	172659	n:1	
81562	180423	n:1	
26505	178499	1:1	708588
1329	172832	1:1	
10120	175162	n:1	767167
1261	176297	n:1	
493753	173157	1:1	
25972	176443	1:1	1235901
51601	183473	1:1	
129531	176587	1:1	1224102
10190	182257	1:1	
9669	175353	1:1	961151
6160	173235	1:1	1203060
11138	178316	n:1	
9448	181248	n:1	967045
6549	186511	1:m	
6549	178126	1:m	
64965	184267	1:1	1204065
8440	180690	1:1	
80146	177631	1:1	960950
60482	178274	1:1	1196669
3987	180827	n:1	
96626	180827	n:1	964675
4867	174643	1:1	
96626	180827	n:1	
84910	180699	1:1	1245683
84172	172752	1:1	1185729
6574	179104	1:1	
284958	CAEEL18434	n:1	
80255	172075	1:1	
10096	171857	n:1	767164
8886	172954	1:1	960964
1622	172071	1:1	
5775	175463	n:1	1209614
79134	178473	n:1	1167006
5899	175433	n:1	
23332	176064	n:m	
23332	176280	n:m	
23332	176298	n:m	
129684	178167	n:1	
274	177797	1:1	
HUMAN64613	176584	1:1	1239493
55679	180827	n:1	
5433	174208	1:1	1218143
56886	181007	n:1	697675
9394	189586	1:1	1220776
92856	178207	1:1	752539
7278	175419	n:1	
4249	172360	1:1	
130013	175280	1:1	708367
22930	181595	1:1	
23190	176187	1:1	667393
4175	176385	1:1	1134259
1615	176334	1:1	1184762
339745	176422	n:1	
8942	180883	1:1	1181034
3800	176179	n:1	
26225	176392	n:1	
785	171933	1:1	906251
10254	172264	n:1	
114793	175346	n:1	965139
55660	176343	n:1	
114805	175558	1:1	
2820	172509	1:1	1246560
10213	173744	1:m	1246005
10213	185404	1:m	
57282	172613	n:1	
1803	180042	n:m	
1803	181579	n:m	
2191	180042	n:m	
2191	181579	n:m	
64135	177425	n:1	
79809	175855	n:1	961703
8708	3565831	1:1	
253782	177660	n:m	
253782	180743	n:m	
115677	183279	1:1	962991
8647	172262	n:m	
8647	178215	n:m	
8647	180165	n:m	
129880	187516	1:1	1206542
6741	172070	1:1	
29081	175637	1:1	1206490
130507	CAEEL04188	1:1	
2571	176713	n:1	1183924
79828	4363033	n:1	
1781	177440	n:1	1227748
8604	175242	n:1	917329
8520	176458	1:1	1224824
3655	176296	n:1	
11069	176432	n:1	
HUMAN65607	173205	1:1	1248695
9541	172225	1:1	961903
80856	180731	1:1	
10651	176087	1:1	856070
8540	175192	1:1	1152437
150737	172122	n:1	1191966
92104	172122	n:1	
91404	172558	1:1	1176172
57703	174689	1:1	
54431	173065	1:1	967814
10787	178191	n:1	
142679	190277	1:1	1168462
55854	172538	1:1	
3685	176240	n:1	
30061	171773	1:1	814042
54529	178154	1:1	
64172	180015	1:1	1249976
26275	175766	1:1	893482
54842	176073	1:1	971887
2744	172547	n:m	
2744	174282	n:m	
9330	179419	1:1	961183
23451	175549	1:1	736583
3329	175316	1:1	847235
3336	175315	1:1	1240084
100529241	176158	n:1	
25843	176158	n:1	1147022
92935	173312	1:1	1236080
5334	187273	n:1	1134896
53938	174132	1:1	961176
8324	172856	n:1	
7341	266820	1:1	
51602	171901	1:1	
130026	191757	1:1	
55759	172226	1:1	
10152	175789	n:1	
4719	178735	1:1	784401
1933	176120	1:1	
130749	171921	1:1	
151195	176188	n:1	
7855	178768	n:1	
3417	177775	1:1	1217813
200576	181428	1:1	1231512
285175	180374	1:1	1214539
6120	176043	n:1	1247086
4632	176796	n:m	
4632	186979	n:m	
2066	174462	n:1	
22807	180756	n:1	
580	175959	1:1	
471	177576	1:1	690872
7520	CAEEL07353	1:1	897289
6168	175070	1:1	
10109	175247	1:1	942568
14	176680	1:1	961388
64114	179361	n:m	
64114	179362	n:m	
6556	177044	n:m	
6556	191766	n:m	922071
6556	180939	n:m	
58190	181944	1:1	
7429	172089	n:1	
9125	CAEEL07496	1:1	950854
84812	177525	n:1	
617	174372	1:1	759195
53632	189836	1:1	927380
10058	176540	1:1	
79065	178561	1:1	
55139	176141	1:1	
79411	188583	n:1	
23549	175822	1:1	1224198
29926	172033	1:1	961021
79586	176231	n:1	
2043	CAEEL04156	n:1	
10056	174351	1:1	1190607
116255	175417	n:m	1192593
116255	189077	n:m	
116255	179314	n:m	
2181	176005	n:m	961036
2181	180859	n:m	
57590	174475	n:1	
8452	178547	1:1	1214897
112441435	189291	1:1	
80704	179544	n:1	
51719	174527	n:1	
5707	175877	1:1	698904
5147	191741	1:1	1222613
129563	175748	1:1	962313
9470	180464	1:1	809508
55054	CAEEL18703	1:1	
8527	177667	n:1	1238457
54578	185500	n:1	
54579	185500	n:1	
54658	175591	1:1	
HUMAN67649	24104280	n:1	
116987	176490	n:1	696976
140739	173072	1:1	
HUMAN67773	CAEEL04625	1:1	
80895	185220	1:1	962152
26146	180421	1:1	
547	174144	n:1	
189	174414	1:1	1235609
5510	174266	1:1	961118
3069	174543	1:1	1208356
10494	182148	1:1	
HUMAN68082	181420	1:1	
23192	190777	n:1	
1841	174553	1:1	1189655
84289	178470	n:1	
728294	174764	1:1	1152434
10752	177078	n:1	
51095	3565786	1:1	1232543
51185	187461	1:1	
3708	177546	1:1	964987
55207	178405	n:1	
9695	177857	1:1	825574
2917	177327	n:1	
5021	188227	n:1	
9901	178079	n:1	
25917	178075	1:1	1189558
375323	184971	n:1	
151835	178108	n:m	
151835	178508	n:m	
8536	176989	n:1	961292
10093	175650	n:1	1196060
HUMAN68349	175650	n:1	
84522	173335	1:1	
55831	178300	1:1	
2177	178418	1:1	1235239
55845	178404	1:1	802251
HUMAN68472	176957	1:1	960927
491	177004	n:m	
491	177089	n:m	
6529	191770	1:1	951574
10533	178005	1:1	1241480
132001	171836	1:1	1244823
HUMAN68573	181231	1:1	
100129480	CAEEL03075	1:1	
23609	176918	n:1	
23066	180125	n:1	
6161	174443	1:1	912911
23225	172348	n:1	
79885	183226	1:1	1193051
131474	184341	1:1	
27258	178303	1:1	1164602
7182	CAEEL09572	n:1	
64432	176926	1:1	1214280
64145	177603	1:1	
23473	175618	1:1	
131965	175507	1:1	1170071
85403	172065	n:1	
26061	174758	1:1	1250364
285381	186854	1:1	937419
23228	187273	n:1	
6138	176891	1:1	1230259
7155	174825	n:1	1249643
55768	173028	1:1	1227124
54995	172869	1:1	960831
152110	175760	1:1	
9497	172613	n:1	910957
201595	175886	1:1	942203
23171	176399	n:1	
152189	185084	1:1	
51143	178260	n:1	
131405	172760	1:1	
2720	188583	n:1	
643853	181090	1:1	
10491	178435	n:1	
25827	3564805	n:1	
23122	176064	n:m	
23122	176280	n:m	
23122	176298	n:m	
10015	176410	1:1	960981
4292	176783	1:1	959971
50853	172089	n:1	
5333	177525	n:1	
9943	190400	1:1	
9942	187700	1:1	759018
57599	175600	1:1	961372
199223	175855	n:1	
3921	175628	1:1	
10289	266853	n:1	
9045	172818	1:1	
1499	173338	1:1	
51099	172888	1:1	
285343	181152	1:1	
285349	181020	1:1	
57456	188905	1:1	1238552
51304	172257	n:1	962427
23016	180369	1:1	1222927
23395	172499	1:1	1146505
22908	CAEEL01821	1:1	1168818
4634	176796	n:m	
4634	186979	n:m	963775
HUMAN69693	177037	1:1	1202156
23276	176775	1:1	965202
25930	190251	1:1	
79714	177484	1:1	1228732
51372	177756	n:1	1231835
5210	172147	n:m	
5210	177363	n:m	
7384	175772	1:1	
65010	179357	n:m	
65010	179626	n:m	
65010	CAEEL15741	n:m	
1951	179788	n:1	
51447	172779	n:1	
788	177530	1:1	917325
10425	177339	1:1	961606
3615	177457	n:1	
5859	178415	1:1	1212031
3913	177292	n:1	
7375	177437	1:1	
387	178458	1:1	961234
HUMAN70038	178960	n:1	
275	178960	n:1	1246559
HUMAN70088	177251	1:1	955151
29925	183400	1:1	960974
9807	172779	n:1	
84315	177318	n:1	736042
10181	172312	n:1	961532
2771	176865	1:1	
7866	178090	n:1	
24142	175899	1:1	897275
8692	174383	n:1	
11070	178149	1:1	
7867	176914	1:1	
1795	177942	n:1	
9730	177804	1:1	1233659
2912	191707	n:1	
9136	CAEEL03135	1:1	
84836	176923	1:1	955225
HUMAN70371	177571	n:m	
HUMAN70371	177767	n:m	1210585
HUMAN70371	177768	n:m	
HUMAN70371	177769	n:m	
95	177571	n:m	
95	177767	n:m	
95	177768	n:m	
95	177769	n:m	1210602
11344	181711	n:1	
132160	183398	n:1	
80335	177561	1:1	
132158	266887	1:1	1207862
55193	172504	1:1	1211357
HUMAN70525	172967	1:1	
91869	177216	1:1	789812
7086	177906	n:1	
776	177513	n:1	
55349	174390	1:1	851914
7474	177870	n:1	
26059	177102	1:1	
142686	CAEEL19342	1:1	
201627	176945	n:1	
2317	176855	n:1	
5162	177108	1:1	1180063
8618	178233	n:1	1174125
132204	177608	n:1	
80145	178353	1:1	
9861	177753	1:1	674125
56999	177850	n:1	
9223	178107	n:1	
115286	177711	1:1	917327
26018	176849	n:1	
8801	177555	1:1	948889
285203	179990	1:1	1196580
9039	175982	1:1	784009
10550	177637	1:1	1150622
55164	176997	1:1	1188638
2632	3565201	1:1	874075
25978	182050	1:1	675936
2042	CAEEL04156	n:1	
200895	172681	n:1	
285220	CAEEL04156	n:1	
84100	183311	1:1	
55773	181592	1:1	1147947
54931	259376	1:1	674481
6152	172062	1:1	1235342
55081	186607	1:1	698843
22989	172471	n:m	
22989	259839	n:m	
22989	179190	n:m	
22989	179676	n:m	
22989	181404	n:m	
57650	181989	1:1	
29114	172660	1:m	
29114	173424	1:m	770210
64422	176921	1:1	1175026
54847	181125	n:1	
523	3564970	1:1	1198488
54762	172343	n:1	
HUMAN71613	180244	1:1	
4045	181093	n:1	
55254	172060	n:1	
10063	175186	1:1	
8856	188826	n:m	
8856	184926	n:m	
2932	173149	n:1	
116064	175865	1:1	967360
3081	172726	1:1	1211993
285282	3565140	1:1	
2960	178502	1:1	
9515	172209	n:1	
55840	172065	n:1	
6565	177973	n:m	
6565	180919	n:m	964764
54554	175474	n:1	
84925	182951	1:1	
111	178949	n:1	
201562	188513	1:1	1216527
8997	171988	n:1	
7372	176453	1:1	1232678
10840	177999	n:1	
131669	178460	1:1	1240559
114112	177466	n:1	1140011
5361	246019	n:1	
4171	174841	1:1	1134257
29927	178407	n:1	
8607	179388	1:1	1249747
60678	173172	1:1	
6184	177456	1:1	1160387
7879	174834	1:1	
339122	178301	1:1	966081
100534599	179524	n:1	780547
57461	179524	n:1	
7555	176979	n:1	
22820	177891	n:1	
55764	184883	1:1	1236198
23023	182643	n:1	1218626
30849	174827	1:1	
27032	173176	1:1	707414
23317	172594	1:1	902152
79876	171968	1:1	784012
58477	179781	1:1	
51560	181759	n:1	962123
6259	180679	1:1	
2047	CAEEL04156	n:1	
5096	180596	1:1	1215589
10274	179749	1:1	
51163	172357	1:1	
22808	175625	1:1	963515
HUMAN72543	175421	1:1	1211568
56945	174632	1:1	1228212
HUMAN72573	CAEEL08998	1:1	
64084	174006	n:1	
55186	174602	n:1	
92369	266877	n:1	
92370	13198270	1:1	
9616	172344	1:1	889982
483	182726	n:m	
483	181494	n:m	
256356	180984	1:1	
54464	175059	1:1	
23350	176063	1:1	
285195	181258	n:1	
5352	174564	n:1	
57088	184340	n:m	
57088	173053	n:m	
57088	191509	n:m	
57088	182212	n:m	
57047	184340	n:m	
57047	173053	n:m	
57047	191509	n:m	905957
57047	182212	n:m	
5359	184340	n:m	
5359	173053	n:m	
5359	191509	n:m	
5359	182212	n:m	
389158	184340	n:m	
389158	173053	n:m	
389158	191509	n:m	
389158	182212	n:m	
1359	171669	1:1	
2992	180119	1:1	
83939	174606	1:1	715028
51714	185097	1:1	
344752	189866	1:1	
13	184575	1:1	
5912	180011	n:1	
9197	CAEEL05349	1:1	960959
8833	174672	1:1	1248019
6747	177028	1:1	795389
57018	179643	1:1	961919
79674	173397	1:1	1239473
HUMAN73074	172293	1:m	
HUMAN73074	172325	1:m	
HUMAN73074	177877	1:m	
85476	174956	1:1	960826
HUMAN73148	180401	n:1	822239
57560	180401	n:1	
10051	175492	1:m	
10051	175603	1:m	960970
286827	181897	n:1	969069
3840	177533	n:1	
51068	3565801	1:1	
131149	177748	1:1	
590	175074	1:1	
11235	174638	1:1	
5274	178586	1:m	
5274	178672	1:m	
27333	180279	1:1	
7095	174429	1:1	1164003
5584	173914	n:1	965384
200916	173873	n:1	
56648	174367	n:m	1221766
56648	176373	n:m	
6514	173525	1:1	
23043	181248	n:1	
5337	173876	1:1	
2693	184090	1:1	
1894	174658	1:1	
5290	174762	n:1	
55669	173990	n:1	
59345	174803	n:1	
86	177325	n:1	
8975	172296	n:1	
131118	172231	1:1	
54165	175556	n:1	
56922	177841	1:1	
23101	180571	n:1	1237983
84002	183559	1:1	
10057	181587	n:1	
HUMAN73696	174387	1:1	
1857	266854	n:m	1184193
1857	173894	n:m	
1173	180713	1:1	1221326
55324	175873	1:1	960862
110599564	3565408	1:1	674157
5708	177455	1:1	674793
1181	174187	n:1	1202789
5437	175660	1:1	
2049	CAEEL04156	n:1	
23355	178174	1:1	
90407	179766	1:1	
6434	176613	n:1	
1608	186262	n:1	
51726	174514	1:1	961134
1974	175966	n:1	960885
4976	174476	1:1	1214497
HUMAN74097	181553	1:1	
2814	179309	1:1	
79572	CAEEL11292	1:1	
23527	174848	n:1	696969
5504	175738	n:1	
131540	180745	1:1	
200931	173966	1:m	
200931	175140	1:m	
5130	181021	n:1	1182004
HUMAN74212	183892	n:1	
255758	183892	n:1	906184
200933	175667	1:1	1221321
22916	184953	1:1	
1739	180819	n:1	
6165	174166	1:1	924058
HUMAN74379	176737	1:1	964929
4636	181775	n:m	
4636	181776	n:m	
84179	178179	1:m	
84179	181158	1:m	962464
84179	182275	1:m	
1609	180452	1:1	844248
53834	180518	1:1	
10296	173248	1:1	1245995
57654	CAEEL14669	1:1	
92305	181310	1:1	
3954	179854	1:1	867722
57732	180712	1:1	
HUMAN74677	180760	n:1	1208990
10227	181765	1:1	961040
8602	CAEEL00045	1:1	960939
4043	179745	1:1	1216511
55351	176456	n:1	
5522	172826	n:1	697205
84448	181227	n:1	
8310	177386	1:1	909000
9948	180022	1:m	
9948	180631	1:m	960943
9957	185573	n:1	
9364	189429	1:1	961928
8842	181330	1:1	803558
5860	176762	1:1	728779
HUMAN75041	181562	n:1	
HUMAN75090	184000	1:1	
1665	175771	1:1	1225069
HUMAN75106	185121	1:1	1203163
51091	179498	1:1	1243428
55300	179839	n:1	
29063	174691	1:1	1191448
10568	CAEEL18521	n:1	
55276	176749	n:1	
57728	191342	1:1	1226952
6133	176071	1:1	1238128
11019	3564813	1:1	1247817
7358	179484	1:1	1246301
201895	183200	1:1	1246214
3093	175185	1:m	
3093	182321	1:m	
23244	175555	n:1	
55584	CAEEL07887	n:1	
55161	189617	1:1	1243136
10463	190608	1:1	
10396	176666	n:1	
389207	175323	1:1	
285525	179507	n:1	
60558	176191	1:1	960821
132789	176760	n:1	
57205	176498	n:1	
152519	175418	n:1	859543
1259	176297	n:1	
285527	175697	n:1	929255
64854	176381	n:1	
81608	178835	1:1	
26511	175219	n:1	1239320
79644	179438	1:1	
55858	175368	1:1	1148812
55763	180598	1:1	1240640
5471	175613	1:1	
10606	173772	1:1	1154929
6731	173625	1:1	808802
84273	174998	1:1	1223863
5431	CAEEL07495	1:1	1185730
2044	CAEEL04156	n:1	
7367	174507	n:m	
7367	188885	n:m	
7367	181413	n:m	
7365	174507	n:m	
7365	188885	n:m	
7365	181413	n:m	
79799	174507	n:m	
79799	188885	n:m	
79799	181413	n:m	
10720	174507	n:m	
10720	188885	n:m	
10720	181413	n:m	
54490	174507	n:m	
54490	188885	n:m	
54490	181413	n:m	
7363	174507	n:m	
7363	188885	n:m	
7363	181413	n:m	
574537	174507	n:m	
574537	188885	n:m	
574537	181413	n:m	
57050	174395	1:1	
9508	181022	n:m	
9508	181412	n:m	
9908	177880	1:1	
8615	178311	1:1	961240
5470	175257	n:1	1244198
55153	180256	1:1	1251542
53371	177836	1:1	
950	184107	1:1	
10983	175757	1:1	
246175	178184	n:1	769173
65008	177549	1:1	
152559	190510	1:1	822403
84779	177622	n:1	
2712	173747	n:1	
153020	177527	n:1	
58478	179634	1:1	1192076
79966	178122	n:m	
79966	179100	n:m	
79966	180162	n:m	
22872	178060	1:1	
51138	176927	1:1	
HUMAN76252	175969	1:1	960859
113510	175210	1:1	1183789
51023	188492	1:1	1242721
84803	181241	n:1	873329
1040	3565046	n:1	1186946
23001	178220	1:1	822154
5602	177460	n:1	962502
57563	3565011	1:1	964083
53343	173916	1:1	891968
5311	178424	n:1	
8916	171700	n:1	
8916	171700	n:1	698934
27306	191347	1:m	
27306	187817	1:m	
658	174044	1:1	
8633	177334	n:1	1221536
5161	3565996	n:1	
10098	177890	n:1	
1977	178536	1:1	
23173	177128	1:1	1249420
128	178597	1:1	728729
93587	177847	1:1	674479
79982	178040	n:1	
3015	177212	n:1	
5530	177943	n:1	
64116	190312	n:1	
4126	181517	1:1	
7323	178006	n:1	
150159	180097	1:m	
150159	181235	1:m	
150159	181236	1:m	
1062	176154	1:1	
6870	192055	n:m	
6870	183595	n:m	
93627	CAEEL04218	1:1	963120
9061	177893	n:1	
166929	178072	1:1	673827
3033	181169	1:1	893480
6164	178173	1:1	1137982
64850	177646	n:1	1192322
84570	185112	n:1	
10427	178183	n:1	
54433	176870	1:1	961119
79071	183948	1:1	802640
2028	179763	1:1	
817	177921	n:1	
7368	174507	n:m	
7368	188885	n:m	
7368	181413	n:m	
64579	177675	n:1	
133022	177902	n:1	
9348	177675	n:1	
9871	178078	n:1	
4085	177046	1:1	
79625	177083	1:1	
5393	176012	1:1	1222928
55212	190704	1:1	1171369
84162	171926	1:1	
83447	189112	n:1	
256471	190242	1:m	962475
256471	181028	1:m	
80167	3565589	1:1	906086
132321	183139	1:1	
80155	175189	n:1	822311
23158	178316	n:1	802147
8821	CAEEL08745	1:1	
8467	175944	n:1	
10393	3565580	1:1	
6059	176733	1:1	961013
4086	176229	n:1	1214244
HUMAN77595	174164	1:1	869671
11157	190601	1:1	
79658	175849	n:1	963355
166614	176639	n:1	
987	175606	n:1	
10586	175607	n:1	
6189	175584	1:1	1212236
55294	179878	1:1	
27236	176326	1:1	
