Mouse	Human	type	OMAGroup
66979	56655	1:1	
68298	9918	1:1	1134597
15277	3099	1:1	1141014
66493	51258	1:1	1162516
56524	51678	1:1	1195771
22317	6843	1:1	795669
213233	55080	1:1	347759
21940	939	1:1	921439
22144	7278	n:m	674835
22144	7278	n:m	
54722	1687	1:1	1232017
20355	10505	1:1	1219190
17000	4055	1:1	348370
110958	130951	1:1	1180759
13448	1796	1:1	1146691
67533	8496	1:1	1191613
73344	728858	1:1	418800
66532	387849	1:1	
232536	60488	1:1	1221929
114142	93986	1:1	1216132
545893	100287284	1:1	1210875
232539	57542	1:1	970433
20276	6337	1:1	908281
19227	5744	1:1	1242083
21937	7132	1:1	1238657
16543	29969	1:1	1226093
213522	55200	1:1	831168
12527	928	1:1	718090
67015	55297	1:1	968749
21426	22797	1:1	
71720	26031	1:1	822021
13063	54205	n:1	
14924	9223	1:1	1235175
70821	136895	1:1	804253
21753	26136	1:1	
60531	64111	1:1	1214198
12390	858	1:1	810339
330450	55711	1:1	962866
18025	9603	1:1	344777
67582	115286	1:1	917327
12389	857	1:1	810337
16206	26018	1:1	
22371	7450	1:1	1181308
17295	4233	1:1	1181705
243574	84541	1:1	967270
12343	830	1:1	945517
243634	HUMAN10585	1:1	752424
20917	8801	1:1	948889
18205	4908	1:1	1152863
53379	3181	1:1	962943
320265	407738	1:1	781499
16493	3741	1:1	964486
320701	151647	1:1	1199122
16485	3736	1:1	963209
16494	3742	1:1	966814
101351	285203	1:1	1196580
66108	4704	1:1	961263
12417	11335	1:1	
11642	10566	1:1	1203560
232286	7110	1:1	962298
67456	51290	1:1	889781
101320	8798	1:1	965447
19362	10635	1:1	966386
71982	29887	1:1	
28040	57102	1:1	1212099
22200	9039	1:1	784009
65106	10550	1:1	1150622
14177	2251	1:1	911329
320502	56203	1:1	1166562
387314	83857	1:1	964191
64654	8074	1:1	1236205
319801	57103	1:1	820521
54353	8935	1:1	966573
12444	894	1:1	673312
320727	10526	1:1	1251383
101187	57097	1:1	349145
381812	84766	1:1	
381813	56341	1:1	904862
68498	441631	1:1	718118
MOUSE48908	23150	1:1	1193478
232560	65981	1:1	1164364
58875	11112	1:1	1226823
52440	HUMAN88242	1:1	
56306	58516	1:1	927745
231986	221895	1:1	949281
109246	10867	1:1	718091
320560	160518	1:1	672722
231991	9586	1:1	974520
21679	7004	1:1	1195961
66873	9865	1:1	941987
320204	254013	1:1	887314
22158	7289	1:1	671821
232566	196394	1:1	966625
72440	83695	1:1	1234524
194388	200424	1:1	1171471
17342	4286	1:1	897461
71287	54504	1:1	1182171
330390	107986096	1:1	958219
14235	2305	1:1	968035
67246	55196	1:1	1222773
71149	101929469	1:1	1186048
MOUSE49007	83714	n:1	
27369	1716	1:1	1182736
64213	7982	1:1	1241601
11468	72	1:1	767173
60345	83714	n:1	952992
22413	7472	1:1	831200
70527	10617	1:1	1227032
12121	636	1:1	967421
51811	165530	1:1	966618
246278	50489	1:1	974617
74068	136991	1:1	962348
24113	25806	1:1	1177116
101142	55846	1:1	722907
14228	2288	1:1	
110935	525	1:1	1198493
75305	79998	1:1	1221716
21766	HUMAN63167	1:m	
21766	113419	1:m	907816
69993	HUMAN88274	1:m	
69993	1124	1:m	965028
78004	222171	1:1	1191745
56174	HUMAN63183	1:1	1142163
232164	400961	1:1	1154895
330319	644150	1:1	964682
69938	HUMAN88292	1:1	882494
17057	3820	n:1	
231997	55033	1:1	
12638	1080	1:1	342152
94071	29121	n:1	
100043861	3820	n:1	
231999	84725	1:1	411794
68235	222166	1:1	340792
387524	223082	1:1	1156497
MOUSE49116	3820	n:1	
30785	83992	1:1	342043
76522	51691	1:1	1216321
80782	3820	n:1	980840
107607	10392	1:1	1160689
75196	56311	1:1	970900
110175	79017	1:1	1143546
16508	3751	1:1	964811
353172	2617	1:1	1251039
269831	23554	1:1	1197021
435921	29121	n:1	
232408	3820	n:1	
12922	1395	1:1	965062
232409	29121	n:1	
21743	11185	1:1	1164679
93694	29121	n:1	
330323	84182	1:1	850321
12515	969	1:1	966294
11826	358	1:1	1148906
232413	160364	1:1	968852
14602	2692	1:1	966220
18139	27332	1:1	965695
71777	54556	1:1	961414
71183	387837	1:1	972319
56760	51266	1:1	973221
214642	79974	1:1	1217032
232414	283420	1:1	946870
93735	51384	1:1	831189
243653	51267	1:1	969048
56644	64581	1:1	970070
108078	4973	1:1	967632
MOUSE49234	10447	1:1	943769
330428	120939	1:1	1188360
57436	23710	1:1	770263
108655	27086	1:m	1216136
108655	27086	1:m	
16643	3824	1:1	974997
66892	317649	1:1	809511
14761	2850	1:1	972574
19283	5803	1:1	1220066
50501	60675	1:1	1220637
27007	100528032	1:1	970928
MOUSE49292	HUMAN88384	1:1	962993
56353	HUMAN71007	1:1	1202037
58179	HUMAN11201	n:m	
58179	3823	n:m	
58179	HUMAN11206	n:m	993552
58179	3821	n:m	
30956	10157	1:1	1153829
11922	63974	1:1	1225633
73191	389549	1:1	1201557
232016	HUMAN88392	1:1	1215637
19051	10842	1:1	1181703
72171	55164	1:1	1188638
232313	727936	1:1	1242143
16642	HUMAN11201	n:m	989850
16642	3823	n:m	
16642	HUMAN11206	n:m	
16642	3821	n:m	
232314	151987	1:1	964188
16641	HUMAN11201	n:m	
16641	3823	n:m	979705
16641	HUMAN11206	n:m	
16641	3821	n:m	
55983	23024	1:1	1235016
18488	5067	1:1	963156
12661	10752	1:1	972152
53870	27255	1:1	969505
66441	55110	n:m	
66441	55110	n:m	1188411
243659	55359	1:1	963522
56449	8531	1:1	1189032
387355	50837	1:1	876007
387342	50839	n:1	
387341	50839	n:1	
57252	50839	n:1	
387346	50839	n:1	876006
381833	5544	n:m	
381833	653247	n:m	1000931
18575	5137	1:1	697793
381832	5554	n:m	
381832	5554	n:m	990298
667929	5544	n:m	
667929	653247	n:m	
19131	5554	n:m	
19131	5554	n:m	
83380	5544	n:m	
83380	653247	n:m	
66373	23658	1:1	1197235
387348	259296	n:m	
387348	259295	n:m	
387348	259294	n:m	
387348	259290	n:m	
387348	259292	n:m	
387348	259289	n:m	
387348	259293	n:m	352834
387349	50838	n:1	354056
387339	50838	n:1	
353165	259296	n:m	
353165	259295	n:m	876011
353165	259294	n:m	
353165	259290	n:m	
353165	259292	n:m	
353165	259289	n:m	
353165	259293	n:m	
78937	23080	1:1	961620
353166	50840	n:1	
353167	50840	n:1	
387344	50840	n:1	
387345	50840	n:1	
210973	25948	1:1	969816
387352	50840	n:1	
387356	353164	1:1	876029
27055	11328	1:1	967346
387343	50840	n:1	
667992	50840	n:1	
387616	50840	n:1	352908
381820	100129361	1:1	414729
269784	152330	1:1	973141
107569	51251	1:1	1241672
16192	3568	1:1	1200107
14011	2120	1:1	1135074
66813	HUMAN11274	1:1	350853
16974	4040	1:1	966338
70047	51095	1:1	1232543
243382	152926	1:1	963475
67729	54682	1:1	964666
67774	118426	1:1	1212184
67138	55008	1:1	698944
66459	100996939	1:1	
70686	80824	1:1	1168478
71835	55915	1:1	768064
232430	1389	1:1	1243347
58799	51185	1:1	
16979	57633	1:1	970531
232023	81552	1:1	
58911	285362	1:1	865982
14760	2842	1:1	967633
320405	93664	1:1	1174126
12576	1027	1:1	1212181
MOUSE49604	168433	1:1	975510
381823	81575	1:1	1190591
71300	378925	1:1	987633
387347	50833	1:1	353642
55961	6561	1:1	1164436
214704	154865	1:1	962554
68202	4698	1:1	1161036
26903	8291	1:1	1175420
78910	142685	1:1	345662
93677	442721	1:1	673882
26357	9429	1:1	962021
67755	51202	1:1	960909
232431	9052	1:1	1176806
93746	55507	1:1	1176807
15199	50865	1:1	1144650
73178	8976	1:1	962253
232174	56603	1:1	930623
77042	23553	1:1	408762
74468	6677	1:1	880762
319832	730130	1:1	340592
73998	8916	1:m	698946
73998	8916	1:m	
74525	57613	1:1	942779
14763	2861	1:1	1208204
58243	266812	1:1	947229
75914	23233	1:1	1196438
101185	25913	1:1	1215133
20751	6697	1:1	728771
58909	10144	1:1	
14840	83445	1:1	1209551
13796	2016	1:1	965970
76400	5037	n:1	
68140	166815	1:1	751000
243385	285513	1:1	1217124
14823	2918	1:1	940644
94282	94097	1:1	1204106
13730	2012	1:1	1210532
16438	3708	1:1	964987
52055	26056	1:1	1156466
20617	6622	1:1	1214523
384452	344022	1:1	985043
70945	22915	1:1	342468
627049	168850	1:1	1181621
20893	8553	1:1	
74375	79571	1:1	962058
232187	10322	1:1	1201181
14812	2904	1:1	1197520
11844	381	1:1	953219
56223	29999	1:1	1190767
73327	84279	1:1	1247066
67166	55207	1:1	953193
232035	401145	1:1	343062
192193	9695	1:1	825574
14804	2895	1:1	940642
11921	474	1:1	
54343	55729	1:1	963466
12468	10574	1:1	847242
108073	2917	1:1	940640
66857	79887	1:1	736064
30937	29995	1:1	968697
330369	150726	1:1	1195923
13656	1961	1:1	970187
243612	51066	1:1	1144530
12391	859	1:1	810338
18430	5021	1:1	974700
18506	5078	1:1	966008
13990	56916	1:1	962174
14917	2984	1:1	1163794
236266	7840	1:1	1174119
319157	8360	n:m	
319157	8360	n:m	
319157	8360	n:m	
319157	8360	n:m	
319157	8360	n:m	
319157	8360	n:m	
319157	8360	n:m	
319157	8360	n:m	
319157	8360	n:m	
319157	8360	n:m	
319157	8360	n:m	
319157	8360	n:m	
319157	8360	n:m	842617
319157	8360	n:m	
54486	27306	1:1	
232440	3014	n:m	
232440	55766	n:m	1236951
232440	723790	n:m	
232440	723790	n:m	
232440	8338	n:m	
232440	317772	n:m	
232440	92815	n:m	
232440	221613	n:m	
232440	8335	n:m	
232440	8334	n:m	
232440	HUMAN83402	n:m	
232440	3013	n:m	
232440	8335	n:m	
232440	8969	n:m	
232440	85235	n:m	
232440	8969	n:m	
232440	8331	n:m	
232440	8969	n:m	
232440	8969	n:m	
232440	8969	n:m	
69049	9027	n:m	
69049	HUMAN63270	n:m	
68396	9027	n:m	1136356
68396	HUMAN63270	n:m	
243407	84109	n:1	
66116	9027	n:m	
66116	HUMAN63270	n:m	
60321	51729	1:1	961677
320135	144608	1:1	1173220
56463	27044	1:1	1208340
414084	79931	1:1	
654818	440087	1:1	409204
192198	64101	1:1	963635
68169	79625	1:1	1203812
109978	420	1:1	1187501
16846	3952	1:1	1163505
17313	4256	1:1	1237485
69187	121506	1:1	1162729
58186	56852	1:1	1241090
11857	397	1:1	1209699
70779	11107	1:1	970831
78600	5149	n:m	1143408
78600	5148	n:m	
68272	55131	1:1	961289
101359	401399	1:1	966516
232441	85004	1:1	964718
56150	4085	1:1	1244854
69786	51002	1:1	788885
259302	9901	1:1	972414
72102	HUMAN63274	1:1	1182875
26910	344018	1:1	1164050
14911	25917	1:1	1189558
23917	3614	1:1	1249781
14701	55970	1:1	1170167
69573	29923	1:1	340598
245884	346653	1:1	1203510
13197	1647	1:1	1194331
19277	5800	1:1	1140504
330277	84691	1:1	1203509
72895	55209	1:1	1220564
269788	375323	1:1	1163096
12321	HUMAN91226	1:1	961765
12057	HUMAN91229	1:1	971403
13860	2059	1:1	1242420
20901	11171	1:1	961014
66870	26135	1:1	
232449	51071	1:1	
97287	64419	1:1	1164407
277898	729025	1:1	962190
232664	64753	1:1	929374
11519	119	1:1	1208999
211232	151835	1:1	696642
56615	4257	1:1	1190503
21802	7039	1:1	906504
109593	55885	1:1	967063
68011	6637	1:1	1164603
632971	79785	1:1	1187255
66881	51449	1:1	909347
78783	7862	1:1	672661
18294	4968	1:1	1135827
68794	2318	1:1	970043
52163	8536	1:1	961292
66144	9296	1:1	1203677
668210	100130705	1:1	1211496
114875	HUMAN11511	1:1	1134897
12344	93661	1:1	945519
101206	10474	1:1	845633
68089	10093	1:m	1196060
68089	HUMAN68349	1:m	
101100	26140	1:1	671607
333088	375616	1:1	965365
27056	3663	1:1	1179769
101122	HUMAN68379	1:1	1229856
109135	54477	1:1	1231693
MOUSE50147	63924	1:1	1179149
67767	84522	1:1	1225800
320938	23534	1:1	696848
232670	340348	1:1	718089
11569	121536	1:1	1162942
319757	6608	1:1	1202397
54611	5139	1:1	697797
57890	132014	1:1	1203234
171095	84818	1:1	1211732
171508	78987	1:1	965742
210673	285368	1:1	967944
66087	55831	1:1	1202289
269774	22848	1:1	966182
56748	27247	1:1	798862
211651	2177	1:1	1235239
70979	115795	1:1	418723
101314	55845	1:1	802251
22346	7428	1:1	741630
14583	2673	1:1	1203309
74340	23382	1:1	953978
108960	3656	1:1	966351
381801	9797	1:m	1163115
381801	HUMAN68457	1:m	
69538	84168	1:1	1204681
58991	51738	1:1	943614
66283	56287	1:1	1154888
110379	HUMAN68472	1:1	960927
66284	200504	1:1	1164395
68888	HUMAN63059	1:1	409428
12154	27302	1:1	1211613
320609	57464	1:1	1242227
232201	9938	1:1	963118
11941	491	1:1	707430
243616	6538	1:1	951583
232333	6529	1:1	951574
15465	3269	1:1	965364
18181	4899	1:1	1164368
22214	7328	1:1	828836
232679	51530	1:1	1170740
74244	10533	1:1	1241480
76788	23008	1:1	962682
232334	9686	1:1	1190054
68971	132001	1:1	1244823
20965	6854	1:1	964391
110595	7079	1:1	1243540
MOUSE50325	HUMAN68573	1:1	928540
381802	80746	1:1	1228818
70291	100129480	1:1	1158230
67027	23609	1:1	1207524
72649	84928	1:1	1240602
75647	136263	1:1	1175690
232680	1358	1:1	758597
71791	51200	1:1	758610
110157	5894	1:1	962072
74649	93979	1:1	758609
109697	1357	1:1	758600
94346	55287	1:1	1151905
67088	23066	1:1	1247003
19951	6161	1:1	912911
212516	90288	1:1	1214131
83922	95681	1:1	1160330
17193	8930	1:1	1179515
17294	4232	1:1	955190
81896	55764	1:1	1236198
54160	26958	1:1	1169263
212541	6010	1:1	
116732	114960	1:1	1179322
619665	136259	1:1	
171506	132243	1:1	
67784	23129	1:1	341934
330401	23023	1:1	1218626
27418	4289	1:1	952830
243743	91584	1:1	1181715
28006	253725	1:m	
28006	387680	1:m	962373
66075	54927	1:1	966995
MOUSE50437	93550	1:1	771969
20336	60412	1:1	780229
58246	84912	1:1	698765
11689	240	1:1	875088
11677	231	1:1	
258914	79290	1:1	352131
14187	57016	n:m	
14187	441282	n:m	
67255	7570	1:1	968922
67861	57016	n:m	
67861	441282	n:m	
213391	83937	1:1	1142010
12183	669	1:1	820502
213393	11067	1:1	1170127
319776	643236	1:1	1178213
20315	6387	1:1	
232337	7580	1:1	971784
98758	3185	1:1	964368
MOUSE50524	800	1:1	963324
108017	53828	1:1	1156190
70727	HUMAN00929	1:1	809338
78752	55454	1:1	1188440
76223	340351	1:1	911938
68487	55281	1:1	
19713	5979	1:1	342674
78412	78996	1:1	1156519
213895	9790	1:1	761662
101240	29062	1:1	961821
72720	57209	1:1	345586
22750	219749	1:1	972943
20899	346673	1:1	1185198
232339	22852	1:1	965890
53621	4850	1:1	1226955
70699	23165	1:1	1243447
243755	26266	1:1	1164444
208164	389558	1:1	1185943
14489	136319	1:1	964602
243764	1129	1:1	965793
19242	5764	1:1	1177055
320127	9162	1:1	844261
208647	64764	1:1	1216745
208665	6718	1:1	855289
21848	8805	1:1	962647
320590	136306	1:1	961766
140494	50617	1:1	1180677
77522	155006	1:1	944325
330286	57670	1:1	966148
209032	92092	1:1	1142451
78781	56829	1:1	788809
264134	79989	1:1	1231177
320538	254048	1:1	1221661
66117	154791	1:1	1234308
192196	51631	1:m	961694
192196	100996928	1:m	
74253	346689	1:1	942005
665180	154790	1:1	971379
15258	28996	1:1	740665
21391	6916	1:1	930635
243771	64761	1:1	788811
338523	80853	1:1	1177009
72144	84255	1:1	962977
19331	401409	1:1	967974
54484	23608	1:1	1207523
209773	27147	1:1	761286
57869	90956	1:1	946384
68198	4708	1:1	1148040
109880	673	1:1	962750
14548	51650	1:1	1180225
434008	100507421	1:1	353959
69923	55750	1:1	1207028
243780	57189	1:1	1154494
381759	494551	1:1	
381760	6742	1:1	829780
574417	50831	1:1	876005
57253	50832	1:1	924743
67690	136242	1:1	358135
258380	HUMAN91684	1:1	352798
258381	130075	1:1	352821
23845	23601	1:1	970231
387513	5726	1:1	351908
232714	8972	1:1	
MOUSE50711	93432	1:1	807331
232717	136541	1:1	
MOUSE50721	HUMAN91704	n:m	
MOUSE50721	HUMAN91708	n:m	
MOUSE50722	HUMAN91702	1:1	815295
MOUSE50723	HUMAN91703	1:1	815216
MOUSE50724	HUMAN91704	n:m	
MOUSE50724	HUMAN91708	n:m	815282
MOUSE50725	HUMAN91713	n:m	
MOUSE50725	HUMAN91730	n:m	
12288	775	1:1	970061
319618	196513	1:1	964918
319734	93589	1:1	1174140
211187	654429	1:1	349505
68465	79602	1:1	822401
22419	81029	1:1	831191
101358	144699	1:1	963796
111173	23085	1:1	963024
19365	5893	1:1	914252
232341	65125	1:1	963892
29862	HUMAN10362	1:1	
330406	283358	1:1	795819
67200	84318	1:1	1228357
214899	5927	1:1	1164954
16172	23765	1:1	1232295
94047	27439	1:1	938187
214932	27440	1:1	1239133
330409	27443	1:1	963444
71803	83733	1:1	
11973	529	1:1	
94044	23786	1:1	853808
12122	HUMAN59097	1:1	1208217
194401	57553	1:1	937495
74043	55670	1:1	1206527
53857	51807	1:1	674831
24110	11274	1:m	969252
24110	HUMAN59297	1:m	
14412	6540	1:1	951578
14411	6539	1:1	951590
243621	440073	1:1	1240219
232345	2	1:1	765487
16950	84695	1:1	968063
64704	27429	1:1	964229
MOUSE50876	550	1:1	873331
93838	165545	1:1	1225105
21909	3196	1:1	967975
69837	84759	1:1	761494
16815	85474	1:1	969786
243510	84865	n:1	1189243
MOUSE50892	84865	n:1	
68499	116540	1:1	922522
57377	7841	1:1	697457
22377	23559	1:1	850738
70020	83444	1:m	
70020	83444	1:m	968513
20166	6242	1:1	1176188
75659	84058	1:1	1219957
71837	HUMAN63349	1:m	
71837	388963	1:m	1154555
13191	1639	1:1	961253
232156	57835	1:1	910967
17768	10797	1:1	1248995
232157	55233	1:1	903284
78653	388962	1:1	897993
15401	3201	1:1	968984
15402	3202	1:1	1157373
15403	3203	1:1	358349
15404	3204	1:1	962404
15405	3205	1:1	962948
15395	3206	1:1	926651
15396	3207	1:1	1215904
20388	6439	1:1	1185658
28035	10713	1:1	961086
68364	388969	1:1	1141603
232086	129303	1:1	1161125
66510	51255	1:1	967818
53620	10791	1:1	795667
22320	8673	1:1	795664
56316	2677	1:1	913057
232087	4144	1:1	1242240
15394	3198	1:1	351559
15399	3199	1:1	1231875
15400	3200	1:1	963537
15398	3209	1:1	1192263
14028	2128	1:1	1148008
209086	219285	1:1	913441
101202	253012	1:1	1201950
73288	55610	1:1	914190
12311	799	1:1	966095
21789	HUMAN89883	1:1	831287
14699	2792	1:1	341715
66066	2791	1:1	1170169
12068	10282	1:1	1222282
213819	64921	1:1	672039
20392	HUMAN89899	1:1	1243711
243725	55607	1:1	1178841
18979	5444	1:1	903213
269823	5446	1:1	903215
330260	5445	1:1	903212
65255	51666	1:1	1242095
27273	5166	1:1	1221382
13426	1780	1:1	1227750
20422	7979	1:1	674529
71238	57001	1:1	936496
21333	6863	1:1	1239387
27053	440	1:1	957241
94192	56913	1:1	871624
252875	54468	1:1	1194091
68240	6119	1:1	1167726
MOUSE51079	729852	n:1	
MOUSE51085	729852	n:1	1207952
170772	113263	1:1	1197134
15893	3382	1:1	1224509
18231	30010	1:1	417159
21841	7072	1:1	961819
232196	54980	1:1	1238785
23983	5093	1:1	966946
67855	HUMAN63102	1:1	1169143
17119	4084	1:1	1228527
66618	11017	1:1	961605
23885	64395	1:1	1224005
11746	307	1:1	675259
232983	284340	1:1	1134108
269994	146395	1:1	1209552
15135	3048	1:m	
15135	3046	1:m	1219047
18367	79339	n:1	989881
18366	79339	n:1	
18365	390058	1:1	352820
58188	342865	1:1	938206
258961	390059	1:1	352242
MOUSE51154	388960	n:1	
MOUSE51160	390061	n:1	353099
MOUSE51162	390061	n:1	
434172	388960	n:1	
258819	390063	1:1	353206
259075	390064	1:1	353169
233168	55552	1:1	
259058	390066	1:1	352688
244178	50613	1:1	675400
244179	143630	1:1	675399
101835	90592	n:m	992058
101835	7561	n:m	
210274	22941	1:1	969489
11775	HUMAN24760	1:1	715060
258746	390067	1:1	
MOUSE51216	340980	1:1	919136
94088	117854	1:1	973283
74204	23214	1:1	1163920
244091	123722	1:1	1220161
104175	388228	1:1	964429
26365	634	n:1	
13043	2017	1:1	964172
94094	53840	n:1	347130
434204	123720	1:1	953767
84704	8926	n:m	415947
84704	8926	n:m	
667823	85363	n:1	
16797	HUMAN27569	1:1	1163132
26367	634	n:1	981320
MOUSE51294	53840	n:1	
20646	6638	1:1	963395
84704	8926	n:m	
84704	8926	n:m	853974
MOUSE51299	100170765	1:1	958954
319236	85363	n:1	
66349	55101	1:1	1168105
232984	374907	1:1	722941
26557	9455	1:1	803280
MOUSE51323	378108	1:m	1000889
MOUSE51323	375593	1:m	
12039	HUMAN43749	1:m	1240968
12039	593	1:m	
67148	83640	n:m	
67148	353267	n:m	963433
233977	8500	1:1	969457
14082	8772	1:1	1200558
73658	83985	1:1	
67290	123207	1:1	1187713
27998	56915	1:1	961469
17984	4692	1:1	868056
27385	54551	1:1	988781
18020	84901	1:1	1156793
22652	7681	1:1	1207528
27412	10023	n:m	
27412	23401	n:m	
320208	641649	1:1	1169611
83962	53339	1:1	968092
232987	80776	1:1	871391
11441	89832	1:m	
11441	1139	1:m	784659
21803	7040	1:1	1211608
12478	930	1:1	1142463
258309	387748	1:1	858604
259051	390072	n:1	858634
107769	53346	1:1	1226532
52132	90324	1:1	961618
170711	161725	1:1	1215336
258743	390073	1:1	352876
MOUSE51426	79473	1:1	853842
MOUSE51429	100287144	n:m	
MOUSE51429	100287178	n:m	
MOUSE51429	100287205	n:m	
MOUSE51429	100287238	n:m	
MOUSE51429	100288520	n:m	
MOUSE51429	100287327	n:m	
MOUSE51429	100287364	n:m	
MOUSE51429	100287404	n:m	
MOUSE51429	100287441	n:m	
MOUSE51429	100287478	n:m	
MOUSE51429	100287513	n:m	
MOUSE51429	728369	n:m	
MOUSE51429	728369	n:m	
MOUSE51429	728369	n:m	
MOUSE51429	728386	n:m	
MOUSE51429	728369	n:m	
MOUSE51429	728369	n:m	
MOUSE51429	728369	n:m	
MOUSE51429	728369	n:m	367433
MOUSE51429	401447	n:m	
MOUSE51429	645402	n:m	
MOUSE51429	392188	n:m	
MOUSE51429	645836	n:m	
MOUSE51429	392197	n:m	
MOUSE51429	377630	n:m	
50794	51621	1:1	1140831
381944	100287144	n:m	
381944	100287178	n:m	
381944	100287205	n:m	
381944	100287238	n:m	
381944	100288520	n:m	
381944	100287327	n:m	
381944	100287364	n:m	
381944	100287404	n:m	
381944	100287441	n:m	
381944	100287478	n:m	
381944	100287513	n:m	1080752
381944	728369	n:m	
381944	728369	n:m	
381944	728369	n:m	
381944	728386	n:m	
381944	728369	n:m	
381944	728369	n:m	
381944	728369	n:m	
381944	728369	n:m	
381944	401447	n:m	
381944	645402	n:m	
381944	392188	n:m	
381944	645836	n:m	
381944	392197	n:m	
381944	377630	n:m	
MOUSE51441	50810	1:1	967198
12173	646	1:1	971320
259100	390077	n:1	352654
70314	79874	1:1	963138
259061	390077	n:1	
243958	114132	1:m	973771
243958	89790	1:m	
259045	390075	1:1	352262
105242927	147646	n:1	410073
105242927	147646	n:1	
MOUSE51468	HUMAN04240	n:m	
MOUSE51468	HUMAN04242	n:m	352676
233187	3982	1:1	359843
258147	HUMAN04240	n:m	
258147	HUMAN04242	n:m	
232989	11100	1:1	1208597
258355	390081	1:1	352955
11937	487	1:1	707435
72310	4818	1:1	1186506
258753	390082	1:1	353028
259046	390083	n:1	
20408	6457	1:1	966655
74276	125875	1:1	954997
404318	390083	n:1	939971
259047	390084	1:1	
244187	HUMAN04252	1:1	351062
269959	57188	1:1	970652
258160	338751	1:1	
110826	2109	n:1	866853
330577	283726	1:1	963591
MOUSE51535	2109	n:1	
259063	255725	1:1	
26362	558	1:1	1169893
MOUSE51546	55107	1:1	752429
MOUSE51552	120787	1:1	353119
75690	147645	1:1	1223589
210094	402665	1:1	965299
14174	2248	1:1	911341
74134	29785	1:1	930653
14175	2249	1:1	911333
101592	79631	1:1	961099
14170	9965	1:1	1227641
108797	84206	1:1	1227220
13088	1555	n:1	930646
MOUSE51583	220064	1:1	1237553
12443	595	1:1	673311
20399	25970	1:1	1228270
12489	945	n:1	
13086	1548	n:m	
13086	1553	n:m	
100043194	6822	n:1	
72431	729767	1:1	987176
233424	HUMAN24717	1:1	1207596
330490	338321	n:1	
20859	6822	n:1	
233870	7284	1:1	960824
83382	27180	1:m	
83382	27036	1:m	
83382	27181	1:m	981785
83382	89858	1:m	
434121	6822	n:1	
233189	90353	1:1	
170460	80765	1:1	675523
317653	43847	1:1	968156
629203	6822	n:1	746785
243880	147945	n:1	
629219	6822	n:1	
626834	26085	1:1	967433
74349	84067	1:1	1227151
69511	43849	1:1	975740
100503879	160298	1:1	947269
16170	3603	1:1	1191582
233649	1262	1:1	965196
56538	11012	1:1	971310
75556	161502	1:1	1198746
233001	338321	n:1	
233871	11273	1:1	962305
69540	5655	1:1	1083809
80889	59274	1:1	336920
101533	284366	1:m	1084335
101533	284366	1:m	
67943	23184	1:1	1143326
56347	728689	1:m	
56347	8663	1:m	
12426	887	1:1	963613
259277	11202	1:1	971631
243881	1555	n:1	
MOUSE51722	4308	1:1	857997
109042	HUMAN04274	1:1	354934
23993	5650	1:1	970899
20597	6609	1:1	833911
13090	1555	n:1	
233979	219931	1:1	963624
100040049	107984345	1:1	409494
211577	116535	1:1	351373
19144	5653	1:1	971783
211578	116512	1:1	978020
68668	25818	1:1	970327
13087	1548	n:m	
13087	1553	n:m	930683
56640	9622	1:1	974691
233315	54893	1:1	1174769
317652	55554	1:1	969047
80982	57214	1:1	668882
330554	22909	1:1	1215149
16624	3816	n:m	
16624	354	n:m	
16624	3817	n:m	
70178	58489	1:1	
16623	3816	n:m	
16623	354	n:m	
16623	3817	n:m	
67973	10199	1:1	961259
13107	1572	1:1	930660
13648	3816	n:m	
13648	354	n:m	
13648	3817	n:m	
73724	84693	1:1	1207649
16613	3816	n:m	
16613	354	n:m	
16613	3817	n:m	
16618	3816	n:m	
16618	354	n:m	
16618	3817	n:m	
112406	112398	1:1	1139794
16619	3816	n:m	
16619	354	n:m	
16619	3817	n:m	
11784	321	1:1	
16616	3816	n:m	
16616	354	n:m	
16616	3817	n:m	
13646	3816	n:m	
13646	354	n:m	
13646	3817	n:m	
70638	23359	1:1	1236742
19342	53916	1:m	961577
19342	53916	1:m	
66647	56160	n:1	868042
16615	3816	n:m	
16615	354	n:m	
16615	3817	n:m	
MOUSE51815	HUMAN43676	n:m	1179328
MOUSE51815	8190	n:m	
16617	3816	n:m	
16617	354	n:m	
16617	3817	n:m	974372
12587	HUMAN43676	n:m	
12587	8190	n:m	1179325
18050	3816	n:m	
18050	354	n:m	
18050	3817	n:m	
18048	3816	n:m	
18048	354	n:m	
18048	3817	n:m	
16622	3816	n:m	
16622	354	n:m	
16622	3817	n:m	
16612	3816	n:m	978720
16612	354	n:m	
16612	3817	n:m	
53607	6626	1:1	720077
414069	284325	1:1	788902
12752	1201	1:m	802269
12752	1201	1:m	
233011	80271	1:1	1140816
171504	55911	1:1	972869
11864	9915	1:1	936630
246779	246778	1:1	1148576
100039239	100996492	1:1	1221951
56312	26471	1:1	1212628
76889	79934	1:1	946393
14085	2184	1:1	1199763
21872	7082	1:1	966339
18223	9253	1:1	1209228
75565	112869	1:1	1223785
12951	1406	1:1	970695
20887	6799	1:m	
20887	6817	1:m	746778
20887	6818	1:m	
20887	6818	1:m	
272396	123283	1:1	
75764	548593	1:m	922457
75764	548593	1:m	
20364	HUMAN44701	1:1	926491
66162	HUMAN27800	1:1	897991
68077	29997	1:1	961126
259300	30846	1:1	822850
68634	80213	1:1	1203299
243842	29998	1:1	972184
